"","year","list","name","last_name","net_worth_change.millions","age","source","industry","gender","country","timestamp","net_worth.realtime.millions","real_time.rank","real_time.position","squareImage","headquarters","state","title.company","position","rank","net_worth.millions","is.government","pay.millions","assets_under_management.millions","salary.millions","url.bio.forbes","url.image"
"1",2014,"Billionaires","Bill Gates","Gates",32.726,62,"Microsoft","Technology","M","United States",2018-02-13 23:10:01,90691.925,2,2,"//specials-images.forbesimg.com/imageserve/59d502f931358e542c034e76/416x416.jpg?background=000000&cropX1=245&cropX2=2420&cropY1=636&cropY2=2813","WA","Washington","Co-Chair, Bill &#38; Melinda Gates Foundation",1,1,76000,FALSE,NA,NA,NA,"http://www.forbes.com/profile/bill-gates","http://i.forbesimg.com/media/lists/people/bill-gates_200x200.jpg"
"2",2014,"Billionaires","Carlos Slim Helu","Slim Helu",199.149,78,"telecom","Telecom","M","Mexico",2018-02-13 23:10:01,67823.423,7,7,"//specials-images.forbesimg.com/imageserve/58cb037d4bbe6f0e5588c0bb/416x416.jpg?background=000000&cropX1=188&cropX2=744&cropY1=271&cropY2=827",NA,NA,"Honorary Chairman, Am&#233;rica M&#243;vil",2,2,72000,FALSE,NA,NA,NA,"http://www.forbes.com/profile/carlos-slim-helu","http://i.forbesimg.com/media/lists/people/carlos-slim-helu_200x200.jpg"
"3",2014,"Billionaires","Amancio Ortega","Ortega",-1179.671,81,"retail","Fashion & Retail","M","Spain",2018-02-13 23:10:01,69992.634,5,5,"//specials-images.forbesimg.com/imageserve/58a2793131358e1a35ab535a/416x416.jpg?background=000000&cropX1=205&cropX2=744&cropY1=26&cropY2=566",NA,NA,NA,3,3,64000,FALSE,NA,NA,NA,"http://www.forbes.com/profile/amancio-ortega","http://i.forbesimg.com/media/lists/people/amancio-ortega_200x200.jpg"
"4",2014,"Billionaires","Warren Buffett","Buffett",-404.563,87,"Berkshire Hathaway","Investments","M","United States",2018-02-13 23:10:01,85064.431,3,3,"//specials-images.forbesimg.com/imageserve/59d5055931358e542c034ead/416x416.jpg?background=000000&cropX1=46&cropX2=693&cropY1=159&cropY2=806","NE","Nebraska","CEO, Berkshire Hathaway",4,4,58200,FALSE,NA,NA,NA,"http://www.forbes.com/profile/warren-buffett","http://i.forbesimg.com/media/lists/people/warren-buffett_200x200.jpg"
"5",2014,"Billionaires","Larry Ellison","Ellison",364.906,73,"Oracle","Technology","M","United States",2018-02-13 23:10:01,59261.002,10,10,"//specials-images.forbesimg.com/imageserve/59d5069b31358e542c034ec1/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=227&cropY2=2228","CA","California","CEO and Founder, Oracle",5,5,48000,FALSE,NA,NA,NA,"http://www.forbes.com/profile/larry-ellison","http://i.forbesimg.com/media/lists/people/larry-ellison_200x200.jpg"
"6",2014,"Billionaires","Charles Koch","Koch",0,82,"diversified","Diversified","M","United States",2018-02-13 23:10:01,60919.077,8,8,"//specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797","KS","Kansas","CEO, Koch Industries",6,6,40000,FALSE,NA,NA,NA,"http://www.forbes.com/profile/charles-koch","http://i.forbesimg.com/media/lists/people/charles-koch_200x200.jpg"
"7",2014,"Billionaires","David Koch","Koch",0,77,"diversified","Diversified","M","United States",2018-02-13 23:10:01,60919.077,8,9,"//specials-images.forbesimg.com/imageserve/59d508fd31358e542c034f02/416x416.jpg?background=000000&cropX1=565&cropX2=1788&cropY1=175&cropY2=1397","NY","New York","Executive Vice President, Koch Industries",7,6,40000,FALSE,NA,NA,NA,"http://www.forbes.com/profile/david-koch","http://i.forbesimg.com/media/lists/people/david-koch_200x200.jpg"
"8",2014,"Billionaires","Sheldon Adelson","Adelson",695.805,84,"casinos","Gaming","M","United States",2018-02-13 23:10:01,39565.748,19,19,"//specials-images.forbesimg.com/imageserve/59d50b9d4bbe6f37dd9ff765/416x416.jpg?background=000000&cropX1=338&cropX2=1928&cropY1=144&cropY2=1733","NV","Nevada","Chairman and CEO, Las Vegas Sands",8,8,38000,FALSE,NA,NA,NA,"http://www.forbes.com/profile/sheldon-adelson","http://i.forbesimg.com/media/lists/people/sheldon-adelson_200x200.jpg"
"9",2014,"Billionaires","Christy Walton","Walton",88.558,63,"Wal-Mart","Fashion and Retail","F","United States",2018-02-13 23:10:01,7415.793,222,222,"http://specials-images.forbesimg.com/imageserve/f12075ee278b0ce676c90b51cc5e60d6/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=87&cropY2=831","WY","Wyoming","Co-Chair, Children's Scholarship Fund",9,9,36700,FALSE,NA,NA,NA,"http://www.forbes.com/profile/christy-walton","http://i.forbesimg.com/media/lists/people/christy-walton_200x200.jpg"
"10",2014,"Billionaires","Jim Walton","Walton",557.91,70,"Wal-Mart","Fashion and Retail","M","United States",2018-02-13 23:10:01,47008.044,14,14,"//specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441","AR","Arkansas","Chairman and CEO, Arvest Bank Group, Inc.",10,10,34700,FALSE,NA,NA,NA,"http://www.forbes.com/profile/jim-walton","http://i.forbesimg.com/media/lists/people/jim-walton_200x200.jpg"
